IDTDOC,IDEPAIS,IDESTGEN,EDAD,IDCODEMUNI,IDCODEDEPTO,IDCOLCALEN,IDCOLGEN,IDCOLNATU,IDCOLBILIN,IDCOLCARAC,IDDESING,IDDESMATH,IDPUESTO
1,1,2,31,85410.0,85.0,3,1,2,0.0,1,3,3,6
1,1,1,24,85410.0,85.0,3,1,2,0.0,1,2,3,6
3,1,1,16,85162.0,85.0,3,1,2,0.0,1,3,3,0
1,1,2,53,11001.0,11.0,1,1,2,0.0,1,5,5,1
1,1,2,23,11001.0,11.0,1,1,2,0.0,1,4,3,2
1,1,1,36,11001.0,11.0,1,1,2,0.0,1,3,3,4
1,1,2,21,54874.0,54.0,1,1,1,0.0,3,3,4,2
1,1,1,19,54001.0,54.0,1,1,1,0.0,3,3,3,6
1,1,2,34,63001.0,63.0,2,1,2,0.0,3,3,3,2
1,1,1,24,19532.0,19.0,2,1,2,0.0,3,3,3,0
1,1,1,28,52001.0,52.0,2,1,2,0.0,3,2,3,0
1,1,1,23,19050.0,19.0,2,1,2,0.0,3,3,3,6
3,1,1,17,19392.0,19.0,2,1,2,0.0,3,3,3,6
1,1,2,26,19001.0,19.0,2,1,2,0.0,3,2,3,6
3,1,2,18,19397.0,19.0,2,1,2,0.0,3,3,3,5
3,1,2,17,19397.0,19.0,2,1,2,0.0,3,2,3,0
3,1,2,17,19397.0,19.0,2,1,2,0.0,3,3,4,3
1,1,2,26,76111.0,76.0,2,1,2,0.0,3,4,7,1
1,1,1,26,19100.0,19.0,2,1,2,0.0,3,3,3,0
3,1,1,18,23001.0,23.0,3,1,2,0.0,1,3,2,0
1,1,2,25,23678.0,23.0,3,1,2,0.0,1,2,3,4
3,1,1,17,23555.0,23.0,3,1,2,0.0,1,3,2,0
1,1,1,22,23555.0,23.0,3,1,2,0.0,1,3,3,3
1,1,2,20,23001.0,23.0,3,1,2,0.0,1,3,3,0
1,1,1,21,23189.0,23.0,3,1,2,0.0,1,2,2,0
3,1,2,17,5154.0,5.0,3,1,2,0.0,1,2,3,3
1,1,2,9,23001.0,23.0,3,1,2,0.0,1,2,3,0
1,1,2,21,23001.0,23.0,3,1,2,0.0,1,3,3,0
3,1,2,19,23001.0,23.0,3,1,2,0.0,1,3,3,4
1,1,1,21,23001.0,23.0,3,1,2,0.0,1,3,3,5
1,1,1,18,23001.0,23.0,3,1,2,0.0,1,3,2,6
1,1,2,24,23162.0,23.0,3,1,2,0.0,1,3,4,6
